"Story","Title","Result","Date","Stability","Duration (s)"
"Register a new user on the page product store","Register on the page PRODUCT STORE","SUCCESS","2023-09-30T20:08:28.2120417-05:00[America/Bogota]","0.0","6.01"
"Register a new user on the page product store","Login on the page PRODUCT STORE","SUCCESS","2023-09-30T20:08:39.3673003-05:00[America/Bogota]","0.0","5.89"
"Register a new user on the page product store","make a purchase on the page PRODUCT STORE","SUCCESS","2023-09-30T20:12:19.305646-05:00[America/Bogota]","0.0","6.68"
"Register a new user on the page product store and make a purchase by adding products to the cart","Register on the page PRODUCT STORE","SUCCESS","2023-09-30T20:20:11.3012176-05:00[America/Bogota]","0.0","7.76"
"Register a new user on the page product store and make a purchase by adding products to the cart","Login on the page PRODUCT STORE","SUCCESS","2023-09-30T20:20:25.5137398-05:00[America/Bogota]","0.0","5.84"
"Register a new user on the page product store and make a purchase by adding products to the cart","make a purchase on the page PRODUCT STORE","SUCCESS","2023-09-30T20:20:35.934006-05:00[America/Bogota]","0.0","5.18"
"Register a new user on the page PRODUCT STORE and make a purchase by adding products to the cart","Register on the page PRODUCT STORE","SUCCESS","2023-09-29T17:28:44.4738234-05:00[America/Bogota]","0.0","8.14"
"Register a new user on the page PRODUCT STORE and make a purchase by adding products to the cart","make a purchase on the page PRODUCT STORE","SUCCESS","2023-09-29T17:29:05.3128575-05:00[America/Bogota]","0.0","4.76"
"Verify correct login on the page product store and make a purchase by adding prod<ucts to the cart","Verify correct login","SUCCESS","2023-10-03T20:30:16.0878839-05:00[America/Bogota]","0.0","19.74"
